"","Name","Score","gene_names","DESeq2_Appeared","DESeq2_Validated","Wilcox_Appeared","Wilcox_Validated","uniprot"
"ENSG00000143297","ENSG00000143297",0.0404117340083654,"FCRL5",TRUE,FALSE,FALSE,FALSE,"Q96RD9"
"ENSG00000099822","ENSG00000099822",0.0426970533111204,"HCN2",FALSE,FALSE,FALSE,FALSE,"Q9UL51"
"ENSG00000169245","ENSG00000169245",0.0434932473265095,"CXCL10",FALSE,FALSE,FALSE,FALSE,"A0A024RDA4"
"ENSG00000275302","ENSG00000275302",0.0435879719274456,"CCL4",FALSE,TRUE,FALSE,FALSE,"P13236"
"ENSG00000106123","ENSG00000106123",0.0443005250517925,"EPHB6",FALSE,FALSE,FALSE,TRUE,"J3KQU5"
"ENSG00000141338","ENSG00000141338",0.0447083522838254,"ABCA8",FALSE,FALSE,FALSE,TRUE,"O94911"
"ENSG00000086730","ENSG00000086730",0.045032175517688,"LAT2",TRUE,TRUE,FALSE,FALSE,"Q9GZY6"
"ENSG00000116260","ENSG00000116260",0.045032175517688,"QSOX1",FALSE,FALSE,TRUE,TRUE,"A0A140VKE5"
"ENSG00000152078","ENSG00000152078",0.0455324477004795,"TLCD4",FALSE,FALSE,FALSE,TRUE,"Q96MV1"
"ENSG00000141424","ENSG00000141424",0.0479864693950198,"SLC39A6",FALSE,FALSE,TRUE,TRUE,"Q13433"
"ENSG00000197106","ENSG00000197106",0.0485067694188427,"SLC6A17",FALSE,FALSE,TRUE,TRUE,"Q9H1V8"
"ENSG00000198216","ENSG00000198216",0.0494964122772217,"CACNA1E",TRUE,TRUE,FALSE,FALSE,"Q15878"
"ENSG00000090686","ENSG00000090686",0.0494964122772217,"USP48",FALSE,FALSE,TRUE,TRUE,"Q86UV5"
"ENSG00000091039","ENSG00000091039",0.0494964122772217,"OSBPL8",FALSE,FALSE,TRUE,TRUE,"Q5HYM3"
"ENSG00000177272","ENSG00000177272",0.0495821290689426,"KCNA3",FALSE,TRUE,FALSE,FALSE,"P22001"
