,Name,Score,gene_names,DESeq2_Appeared,DESeq2_Validated,Wilcox_Appeared,Wilcox_Validated,uniprot,Prot_Evidence
ENSG00000129450,ENSG00000129450,0.0103905360295602,SIGLEC9,FALSE,TRUE,FALSE,TRUE,Q9Y336,FALSE
ENSG00000184613,ENSG00000184613,0.0104816805369322,NELL2,FALSE,TRUE,FALSE,TRUE,Q99435,TRUE
ENSG00000106278,ENSG00000106278,0.0109893116767457,PTPRZ1,TRUE,TRUE,FALSE,FALSE,P23471,TRUE
ENSG00000182272,ENSG00000182272,0.0111365917727963,B4GALNT4,FALSE,TRUE,TRUE,TRUE,Q76KP1,FALSE
ENSG00000223658,ENSG00000223658,0.0114264662159079,C1GALT1C1L,FALSE,TRUE,TRUE,TRUE,P0DN25,FALSE
ENSG00000110436,ENSG00000110436,0.0114868440045986,SLC1A2,TRUE,TRUE,FALSE,FALSE,P43004,TRUE
ENSG00000143226,ENSG00000143226,0.0117396118069338,FCGR2A,TRUE,TRUE,FALSE,FALSE,P12318,FALSE
ENSG00000161381,ENSG00000161381,0.0117396118069338,PLXDC1,TRUE,TRUE,FALSE,FALSE,Q8IUK5,FALSE
ENSG00000163873,ENSG00000163873,0.0118299364513211,GRIK3,TRUE,TRUE,FALSE,FALSE,Q13003,FALSE
ENSG00000110077,ENSG00000110077,0.0119221200972936,MS4A6A,FALSE,TRUE,TRUE,TRUE,Q9H2W1,FALSE
ENSG00000135298,ENSG00000135298,0.0120231544488796,ADGRB3,FALSE,TRUE,FALSE,FALSE,O60242,FALSE
ENSG00000172116,ENSG00000172116,0.0120718189908152,CD8B,TRUE,TRUE,FALSE,FALSE,P10966,FALSE
ENSG00000196876,ENSG00000196876,0.0121248296079273,SCN8A,FALSE,TRUE,TRUE,TRUE,Q9UQD0,FALSE
ENSG00000121361,ENSG00000121361,0.0122271482782606,KCNJ8,FALSE,TRUE,FALSE,FALSE,Q15842,FALSE
ENSG00000198829,ENSG00000198829,0.0126429123481574,SUCNR1,FALSE,TRUE,FALSE,FALSE,Q9BXA5,FALSE
ENSG00000163681,ENSG00000163681,0.0127772955822581,SLMAP,FALSE,FALSE,TRUE,TRUE,Q14BN4,FALSE
ENSG00000166897,ENSG00000166897,0.0130433557446705,ELFN2,FALSE,FALSE,TRUE,FALSE,Q5R3F8,FALSE
ENSG00000197471,ENSG00000197471,0.0130433557446705,SPN,TRUE,TRUE,FALSE,FALSE,P16150,FALSE
ENSG00000105737,ENSG00000105737,0.0130691903845272,GRIK5,FALSE,TRUE,FALSE,TRUE,Q16478,FALSE
ENSG00000183579,ENSG00000183579,0.0133120660290853,ZNRF3,FALSE,FALSE,TRUE,FALSE,Q9ULT6,FALSE
ENSG00000205704,ENSG00000205704,0.0136170911193917,SMIM45,FALSE,TRUE,FALSE,FALSE,A0A590UK83,FALSE
ENSG00000126266,ENSG00000126266,0.0138410057061319,FFAR1,FALSE,FALSE,FALSE,FALSE,O14842,FALSE
ENSG00000104972,ENSG00000104972,0.0138574258415995,LILRB1,TRUE,TRUE,FALSE,TRUE,Q8NHL6,FALSE
ENSG00000104381,ENSG00000104381,0.0140107452348423,GDAP1,FALSE,TRUE,FALSE,TRUE,Q8TB36,FALSE
ENSG00000148344,ENSG00000148344,0.0141383132581051,PTGES,TRUE,TRUE,FALSE,FALSE,O14684,FALSE
ENSG00000206432,ENSG00000206432,0.0143549030919508,TMEM200C,FALSE,TRUE,FALSE,FALSE,A6NKL6,FALSE
ENSG00000143797,ENSG00000143797,0.0144133527858296,MBOAT2,FALSE,TRUE,TRUE,TRUE,Q6ZWT7,FALSE
ENSG00000100427,ENSG00000100427,0.0146952719888915,MLC1,TRUE,TRUE,FALSE,FALSE,Q15049,TRUE
ENSG00000176697,ENSG00000176697,0.0146952719888915,BDNF,FALSE,FALSE,TRUE,TRUE,P23560,FALSE
ENSG00000135312,ENSG00000135312,0.0147643907051268,HTR1B,FALSE,TRUE,TRUE,TRUE,P28222,FALSE
ENSG00000115602,ENSG00000115602,0.0147680460353184,IL1RL1,TRUE,TRUE,FALSE,FALSE,Q01638,FALSE
ENSG00000080854,ENSG00000080854,0.014979824644881,IGSF9B,TRUE,TRUE,FALSE,FALSE,Q9UPX0,FALSE
ENSG00000115604,ENSG00000115604,0.015486675509502,IL18R1,FALSE,TRUE,FALSE,TRUE,Q13478,FALSE
ENSG00000254126,ENSG00000254126,0.0155568192189361,CD8B2,TRUE,TRUE,FALSE,FALSE,A6NJW9,FALSE
ENSG00000142408,ENSG00000142408,0.0156095850301529,CACNG8,FALSE,TRUE,TRUE,TRUE,Q8WXS5,FALSE
ENSG00000078549,ENSG00000078549,0.0157674112233252,ADCYAP1R1,TRUE,TRUE,FALSE,FALSE,P41586,FALSE
ENSG00000172296,ENSG00000172296,0.015857597416999,SPTLC3,FALSE,TRUE,FALSE,TRUE,Q9NUV7,FALSE
ENSG00000115884,ENSG00000115884,0.0164419926505743,SDC1,FALSE,TRUE,TRUE,TRUE,P18827,FALSE
ENSG00000177301,ENSG00000177301,0.0164419926505743,KCNA2,TRUE,TRUE,FALSE,FALSE,P16389,FALSE
ENSG00000184574,ENSG00000184574,0.0164419926505743,LPAR5,TRUE,TRUE,FALSE,FALSE,Q9H1C0,FALSE
ENSG00000059769,ENSG00000059769,0.0170451970000025,DNAJC25,FALSE,FALSE,TRUE,TRUE,Q9H1X3,FALSE
ENSG00000178568,ENSG00000178568,0.0173494818851797,ERBB4,TRUE,TRUE,FALSE,FALSE,Q15303,FALSE
ENSG00000198851,ENSG00000198851,0.0173507174890982,CD3E,TRUE,TRUE,FALSE,FALSE,P07766,FALSE
ENSG00000156113,ENSG00000156113,0.0174678636280368,KCNMA1,FALSE,TRUE,FALSE,TRUE,Q12791,FALSE
ENSG00000101152,ENSG00000101152,0.0176588464995523,DNAJC5,FALSE,FALSE,TRUE,TRUE,Q9H3Z4,FALSE
ENSG00000105383,ENSG00000105383,0.0176588464995523,CD33,TRUE,TRUE,FALSE,FALSE,P20138,FALSE
ENSG00000118762,ENSG00000118762,0.0182829190262513,PKD2,FALSE,TRUE,TRUE,TRUE,Q13563,FALSE
ENSG00000187730,ENSG00000187730,0.0182829190262513,GABRD,FALSE,TRUE,TRUE,TRUE,O14764,FALSE
ENSG00000235568,ENSG00000235568,0.0182829190262513,NFAM1,TRUE,TRUE,FALSE,FALSE,Q8NET5,FALSE
ENSG00000127324,ENSG00000127324,0.0184335613697029,TSPAN8,FALSE,TRUE,FALSE,TRUE,P19075,FALSE
ENSG00000157181,ENSG00000157181,0.0185988570160224,ODR4,FALSE,FALSE,TRUE,TRUE,Q5SWX8,FALSE
ENSG00000198626,ENSG00000198626,0.0185988570160224,RYR2,TRUE,TRUE,FALSE,FALSE,Q92736,FALSE
ENSG00000013725,ENSG00000013725,0.0195607692376623,CD6,TRUE,TRUE,FALSE,FALSE,P30203,FALSE
ENSG00000145569,ENSG00000145569,0.0195622447545924,OTULINL,TRUE,TRUE,FALSE,FALSE,Q9NUU6,FALSE
ENSG00000160255,ENSG00000160255,0.0196886672578944,ITGB2,TRUE,TRUE,FALSE,TRUE,P05107,FALSE
ENSG00000117114,ENSG00000117114,0.0198885560588635,ADGRL2,FALSE,TRUE,TRUE,TRUE,O95490,FALSE
ENSG00000127838,ENSG00000127838,0.0198885560588635,PNKD,FALSE,FALSE,TRUE,TRUE,Q8N490,FALSE
ENSG00000135506,ENSG00000135506,0.0202174537956742,OS9,FALSE,FALSE,TRUE,TRUE,Q13438,FALSE
ENSG00000186407,ENSG00000186407,0.0202174537956742,CD300E,TRUE,TRUE,FALSE,FALSE,Q496F6,FALSE
ENSG00000179344,ENSG00000179344,0.0208480334597773,HLA-DQB1,FALSE,TRUE,FALSE,TRUE,NA,FALSE
ENSG00000174469,ENSG00000174469,0.0208829975427845,CNTNAP2,TRUE,TRUE,FALSE,FALSE,Q9UHC6,TRUE
ENSG00000165300,ENSG00000165300,0.0210787148998199,SLITRK5,FALSE,TRUE,TRUE,TRUE,O94991,FALSE
ENSG00000123700,ENSG00000123700,0.0212196380436869,KCNJ2,FALSE,TRUE,TRUE,TRUE,P63252,FALSE
ENSG00000140749,ENSG00000140749,0.0214006413208728,IGSF6,TRUE,TRUE,FALSE,TRUE,O95976,FALSE
ENSG00000131355,ENSG00000131355,0.021558853958335,ADGRE3,TRUE,TRUE,FALSE,FALSE,Q9BY15,FALSE
ENSG00000188338,ENSG00000188338,0.021558853958335,SLC38A3,TRUE,TRUE,FALSE,FALSE,Q99624,FALSE
ENSG00000148488,ENSG00000148488,0.021946017524964,ST8SIA6,TRUE,TRUE,FALSE,TRUE,P61647,FALSE
ENSG00000268500,ENSG00000268500,0.0225919266697868,SIGLEC5,TRUE,TRUE,FALSE,FALSE,O15389,FALSE
ENSG00000155893,ENSG00000155893,0.0228293917026629,PXYLP1,FALSE,TRUE,FALSE,FALSE,Q8TE99,FALSE
ENSG00000198838,ENSG00000198838,0.0229414167297876,RYR3,TRUE,TRUE,FALSE,FALSE,Q15413,FALSE
ENSG00000174607,ENSG00000174607,0.0234922711053308,UGT8,TRUE,TRUE,FALSE,TRUE,Q16880,FALSE
ENSG00000154065,ENSG00000154065,0.0236336133442667,ANKRD29,TRUE,TRUE,FALSE,FALSE,Q8N6D5,FALSE
ENSG00000196338,ENSG00000196338,0.0236480790958972,NLGN3,TRUE,TRUE,FALSE,FALSE,Q9NZ94,FALSE
ENSG00000141338,ENSG00000141338,0.0243410486161217,ABCA8,FALSE,TRUE,FALSE,TRUE,O94911,FALSE
ENSG00000018280,ENSG00000018280,0.0243649661508619,SLC11A1,TRUE,TRUE,FALSE,FALSE,P49279,FALSE
ENSG00000154309,ENSG00000154309,0.0243649661508619,DISP1,FALSE,TRUE,TRUE,TRUE,Q96F81,FALSE
ENSG00000168003,ENSG00000168003,0.0243649661508619,SLC3A2,FALSE,FALSE,TRUE,TRUE,P08195,TRUE
ENSG00000113749,ENSG00000113749,0.0245108038877433,HRH2,TRUE,TRUE,FALSE,FALSE,P25021,FALSE
ENSG00000140090,ENSG00000140090,0.024727237075934,SLC24A4,TRUE,TRUE,FALSE,FALSE,Q8NFF2,FALSE
ENSG00000137103,ENSG00000137103,0.0247739601748095,TMEM8B,FALSE,TRUE,FALSE,TRUE,A6NDV4,FALSE
ENSG00000121933,ENSG00000121933,0.0249561087489057,TMIGD3,TRUE,TRUE,FALSE,FALSE,P0DMS9,FALSE
ENSG00000136052,ENSG00000136052,0.0250920559424774,SLC41A2,FALSE,TRUE,TRUE,TRUE,Q96JW4,FALSE
ENSG00000186818,ENSG00000186818,0.0250920559424774,LILRB4,TRUE,TRUE,FALSE,FALSE,Q8NHJ6,FALSE
ENSG00000168913,ENSG00000168913,0.0251244263188282,ENHO,FALSE,TRUE,FALSE,FALSE,Q6UWT2,FALSE
ENSG00000100321,ENSG00000100321,0.0252126207977206,SYNGR1,FALSE,TRUE,FALSE,TRUE,O43759,TRUE
ENSG00000110917,ENSG00000110917,0.0254594200091347,MLEC,FALSE,FALSE,TRUE,TRUE,Q14165,FALSE
ENSG00000106484,ENSG00000106484,0.0254785977936214,MEST,FALSE,TRUE,FALSE,TRUE,Q5EB52,FALSE
ENSG00000078596,ENSG00000078596,0.0257097718858039,ITM2A,TRUE,TRUE,FALSE,FALSE,O43736,FALSE
ENSG00000171659,ENSG00000171659,0.025829326535616,GPR34,TRUE,TRUE,FALSE,FALSE,Q9UPC5,FALSE
ENSG00000197121,ENSG00000197121,0.025829326535616,PGAP1,FALSE,FALSE,TRUE,TRUE,Q75T13,FALSE
ENSG00000154118,ENSG00000154118,0.0260152795799866,JPH3,TRUE,TRUE,FALSE,FALSE,Q8WXH2,FALSE
ENSG00000086730,ENSG00000086730,0.0262017727826987,LAT2,TRUE,TRUE,FALSE,FALSE,Q9GZY6,FALSE
ENSG00000250722,ENSG00000250722,0.0266332652628382,SELENOP,TRUE,TRUE,FALSE,TRUE,P49908,FALSE
ENSG00000154645,ENSG00000154645,0.0269542734871135,CHODL,TRUE,TRUE,FALSE,FALSE,Q9H9P2,FALSE
ENSG00000099968,ENSG00000099968,0.0273343224713368,BCL2L13,FALSE,FALSE,TRUE,TRUE,Q9BXK5,FALSE
ENSG00000139572,ENSG00000139572,0.0273343224713368,GPR84,TRUE,TRUE,FALSE,FALSE,Q9NQS5,FALSE
ENSG00000164946,ENSG00000164946,0.0274939412642398,FREM1,FALSE,TRUE,FALSE,FALSE,Q5H8C1,FALSE
ENSG00000160791,ENSG00000160791,0.0275623435734882,CCR5,TRUE,TRUE,FALSE,FALSE,P51681,FALSE
ENSG00000103056,ENSG00000103056,0.0277169002299436,SMPD3,TRUE,TRUE,FALSE,FALSE,Q9NY59,FALSE
ENSG00000152078,ENSG00000152078,0.0278728358188243,TLCD4,FALSE,TRUE,FALSE,TRUE,Q96MV1,FALSE
ENSG00000130226,ENSG00000130226,0.0281020040290477,DPP6,TRUE,TRUE,FALSE,FALSE,P42658,FALSE
ENSG00000107897,ENSG00000107897,0.0284896311358301,ACBD5,FALSE,FALSE,TRUE,TRUE,Q5T8D3,FALSE
ENSG00000144366,ENSG00000144366,0.0284896311358301,GULP1,FALSE,TRUE,TRUE,TRUE,Q9UBP9,FALSE
ENSG00000178878,ENSG00000178878,0.0287396586506311,APOLD1,FALSE,TRUE,FALSE,FALSE,Q96LR9,FALSE
ENSG00000143110,ENSG00000143110,0.0288797788185394,C1orf162,TRUE,TRUE,FALSE,FALSE,Q8NEQ5,FALSE
ENSG00000196664,ENSG00000196664,0.0288797788185394,TLR7,TRUE,TRUE,FALSE,FALSE,Q9NYK1,FALSE
ENSG00000099822,ENSG00000099822,0.0292298763206068,HCN2,FALSE,TRUE,FALSE,FALSE,Q9UL51,FALSE
ENSG00000152315,ENSG00000152315,0.0296972719135392,KCNK13,FALSE,TRUE,FALSE,TRUE,Q9HB14,FALSE
ENSG00000183166,ENSG00000183166,0.0300653180207214,CALN1,TRUE,TRUE,FALSE,FALSE,Q9BXU9,FALSE
ENSG00000154262,ENSG00000154262,0.0301280402957505,ABCA6,FALSE,TRUE,FALSE,TRUE,Q8N139,FALSE
ENSG00000182489,ENSG00000182489,0.0303304109721798,XKRX,FALSE,TRUE,TRUE,TRUE,Q6PP77,FALSE
ENSG00000017483,ENSG00000017483,0.03084079794023,SLC38A5,FALSE,TRUE,FALSE,FALSE,Q8WUX1,FALSE
ENSG00000136868,ENSG00000136868,0.0312734441656474,SLC31A1,FALSE,FALSE,TRUE,TRUE,O15431,FALSE
ENSG00000159958,ENSG00000159958,0.0312734441656474,TNFRSF13C,TRUE,TRUE,FALSE,FALSE,Q96RJ3,FALSE
ENSG00000166928,ENSG00000166928,0.0314881618348065,MS4A14,TRUE,TRUE,FALSE,FALSE,Q96JA4,FALSE
ENSG00000101160,ENSG00000101160,0.0316811594804524,CTSZ,FALSE,TRUE,TRUE,TRUE,Q9UBR2,TRUE
ENSG00000125257,ENSG00000125257,0.0316811594804524,ABCC4,FALSE,TRUE,TRUE,TRUE,O15439,FALSE
ENSG00000143297,ENSG00000143297,0.0325040836689266,FCRL5,TRUE,TRUE,FALSE,FALSE,Q96RD9,FALSE
ENSG00000146411,ENSG00000146411,0.0325174056858316,SLC2A12,FALSE,TRUE,FALSE,TRUE,Q8TD20,FALSE
ENSG00000107736,ENSG00000107736,0.0329192870993713,CDH23,TRUE,TRUE,FALSE,FALSE,Q9H251,FALSE
ENSG00000172071,ENSG00000172071,0.0329192870993713,EIF2AK3,FALSE,TRUE,TRUE,TRUE,Q9NZJ5,FALSE
ENSG00000105697,ENSG00000105697,0.033336981126917,HAMP,TRUE,TRUE,FALSE,FALSE,P81172,FALSE
ENSG00000198400,ENSG00000198400,0.0334900238705856,NTRK1,FALSE,TRUE,FALSE,FALSE,P04629,FALSE
ENSG00000153786,ENSG00000153786,0.034179830098602,ZDHHC7,FALSE,FALSE,TRUE,TRUE,Q9NXF8,FALSE
ENSG00000119632,ENSG00000119632,0.0343727449180267,IFI27L2,FALSE,TRUE,FALSE,FALSE,Q9H2X8,FALSE
ENSG00000169604,ENSG00000169604,0.0346049796080553,ANTXR1,FALSE,TRUE,TRUE,TRUE,Q9H6X2,FALSE
ENSG00000146648,ENSG00000146648,0.0350326088452372,EGFR,FALSE,TRUE,TRUE,TRUE,P00533,FALSE
ENSG00000165685,ENSG00000165685,0.0350326088452372,TMEM52B,TRUE,TRUE,FALSE,FALSE,Q4KMG9,FALSE
ENSG00000273079,ENSG00000273079,0.0350326088452372,GRIN2B,TRUE,TRUE,FALSE,FALSE,Q13224,FALSE
ENSG00000154258,ENSG00000154258,0.0353865392138823,ABCA9,FALSE,TRUE,FALSE,TRUE,Q8IUA7,FALSE
