"","Name","Score","gene_names"
"ENSG00000065618","ENSG00000065618",0.00696109681301735,"COL17A1"
"ENSG00000258986","ENSG00000258986",0.00709801936402772,"TMEM179"
"ENSG00000101489","ENSG00000101489",0.00741402429412707,"CELF4"
"ENSG00000159618","ENSG00000159618",0.00752166716998895,"ADGRG5"
"ENSG00000180287","ENSG00000180287",0.00757192391645686,"PLD5"
"ENSG00000173705","ENSG00000173705",0.00757192391645686,"SUSD5"
"ENSG00000005471","ENSG00000005471",0.00774046504741184,"ABCB4"
"ENSG00000183166","ENSG00000183166",0.00774046504741184,"CALN1"
"ENSG00000100867","ENSG00000100867",0.00774046504741184,"DHRS2"
"ENSG00000169495","ENSG00000169495",0.00785163691374078,"HTRA4"
"ENSG00000167281","ENSG00000167281",0.00785163691374078,"RBFOX3"
"ENSG00000105609","ENSG00000105609",0.00796400202536597,"LILRB5"
"ENSG00000142512","ENSG00000142512",0.00796400202536597,"SIGLEC10"
"ENSG00000124493","ENSG00000124493",0.00830834206256675,"GRM4"
"ENSG00000181785","ENSG00000181785",0.00839751348401494,"OR5AS1"
"ENSG00000078549","ENSG00000078549",0.00842556553704258,"ADCYAP1R1"
"ENSG00000188910","ENSG00000188910",0.00878468715041967,"GJB3"
"ENSG00000169403","ENSG00000169403",0.00878468715041967,"PTAFR"
"ENSG00000143199","ENSG00000143199",0.00886856570449174,"ADCY10"
"ENSG00000198515","ENSG00000198515",0.00890690704914374,"CNGA1"
"ENSG00000183960","ENSG00000183960",0.00903039785270022,"KCNH8"
"ENSG00000143297","ENSG00000143297",0.00915516834104448,"FCRL5"
"ENSG00000177511","ENSG00000177511",0.00932493330609597,"ST8SIA3"
"ENSG00000165125","ENSG00000165125",0.00955422352861128,"TRPV6"
"ENSG00000105642","ENSG00000105642",0.00966722379923193,"KCNN1"
"ENSG00000169876","ENSG00000169876",0.00981258592867874,"MUC17"
"ENSG00000237515","ENSG00000237515",0.00993116013732565,"SHISA9"
"ENSG00000188037","ENSG00000188037",0.0102004644685866,"CLCN1"
"ENSG00000169896","ENSG00000169896",0.010264668216933,"ITGAM"
"ENSG00000010379","ENSG00000010379",0.0103371522049049,"SLC6A13"
"ENSG00000086730","ENSG00000086730",0.0104752090878623,"LAT2"
"ENSG00000169181","ENSG00000169181",0.0106146442298738,"GSG1L"
"ENSG00000095932","ENSG00000095932",0.0108976858918364,"SMIM24"
"ENSG00000213937","ENSG00000213937",0.0110413107877355,"CLDN9"
"ENSG00000166428","ENSG00000166428",0.0110413107877355,"PLD4"
"ENSG00000182272","ENSG00000182272",0.0119715591369071,"B4GALNT4"
"ENSG00000168830","ENSG00000168830",0.0119715591369071,"HTR1E"
"ENSG00000082684","ENSG00000082684",0.0122420322940562,"SEMA5B"
"ENSG00000146839","ENSG00000146839",0.01239872831447,"ZAN"
"ENSG00000183317","ENSG00000183317",0.0127166283032294,"EPHA10"
"ENSG00000182183","ENSG00000182183",0.0128778513728893,"SHISAL2A"
"ENSG00000182107","ENSG00000182107",0.0133527529010851,"TMEM30B"
"ENSG00000182674","ENSG00000182674",0.0133527529010851,"KCNB2"
"ENSG00000124731","ENSG00000124731",0.0133527529010851,"TREM1"
"ENSG00000140015","ENSG00000140015",0.0133707281255701,"KCNH5"
"ENSG00000110195","ENSG00000110195",0.0133707281255701,"FOLR1"
"ENSG00000132874","ENSG00000132874",0.0135381217458299,"SLC14A2"
"ENSG00000169550","ENSG00000169550",0.0141859606704198,"MUC15"
"ENSG00000110975","ENSG00000110975",0.015043487442653,"SYT10"
"ENSG00000134755","ENSG00000134755",0.0152905599913143,"DSC2"
"ENSG00000272398","ENSG00000272398",0.0159252555582486,"CD24"
"ENSG00000146039","ENSG00000146039",0.0160506283223132,"SLC17A4"
"ENSG00000170927","ENSG00000170927",0.0162425619555349,"PKHD1"
"ENSG00000184985","ENSG00000184985",0.0164362118232001,"SORCS2"
"ENSG00000152092","ENSG00000152092",0.0164362118232001,"ASTN1"
"ENSG00000117394","ENSG00000117394",0.0166315881257732,"SLC2A1"
"ENSG00000168079","ENSG00000168079",0.0166315881257732,"SCARA5"
"ENSG00000142185","ENSG00000142185",0.0172281781009384,"TRPM2"
"ENSG00000104290","ENSG00000104290",0.0177612056347363,"FZD3"
"ENSG00000139292","ENSG00000139292",0.017840676108461,"LGR5"
