"","Name","Score","gene_names","Validated","uniprot"
"ENSG00000187474","ENSG00000187474",0.00765224784780529,"FPR3",TRUE,"P25089"
"ENSG00000183166","ENSG00000183166",0.00830322032096929,"CALN1",TRUE,"A4D1Z1"
"ENSG00000128596","ENSG00000128596",0.00898076309916038,"CCDC136",TRUE,"Q96JN2"
"ENSG00000126262","ENSG00000126262",0.00921251520411899,"FFAR2",TRUE,"C6KYL4"
"ENSG00000160886","ENSG00000160886",0.00944721956519172,"LY6K",TRUE,"Q17RY6"
"ENSG00000103056","ENSG00000103056",0.00968487618237857,"SMPD3",FALSE,"A8K0T6"
"ENSG00000134460","ENSG00000134460",0.00992548505567955,"IL2RA",TRUE,"P01589"
"ENSG00000154118","ENSG00000154118",0.00992548505567955,"JPH3",TRUE,"F8W9A3"
"ENSG00000204577","ENSG00000204577",0.0101690461850946,"LILRB3",TRUE,"A0A0G2JM46"
"ENSG00000078549","ENSG00000078549",0.0102959931980019,"ADCYAP1R1",TRUE,"A0A090N8F8"
"ENSG00000121871","ENSG00000121871",0.0104155595706239,"SLITRK3",FALSE,"O94933"
"ENSG00000124215","ENSG00000124215",0.0104155595706239,"CDH26",TRUE,"Q8IXH8"
"ENSG00000181785","ENSG00000181785",0.0106650252122672,"OR5AS1",FALSE,"A0A126GVD4"
"ENSG00000167619","ENSG00000167619",0.0106650252122672,"TMEM145",TRUE,"Q8NBT3"
"ENSG00000110079","ENSG00000110079",0.0109174431100247,"MS4A4A",TRUE,"Q96JQ5"
"ENSG00000167889","ENSG00000167889",0.0111728132638963,"MGAT5B",FALSE,"Q3V5L5"
"ENSG00000163377","ENSG00000163377",0.011431135673882,"TAFA4",TRUE,"A0A024R369"
"ENSG00000171049","ENSG00000171049",0.0116924103399818,"FPR2",TRUE,"A0A024R4P3"
"ENSG00000135472","ENSG00000135472",0.0122238164405239,"FAIM2",TRUE,"Q9BWQ8"
"ENSG00000101542","ENSG00000101542",0.0122238164405239,"CDH20",FALSE,"A8K2C5"
"ENSG00000080854","ENSG00000080854",0.0124939478749661,"IGSF9B",TRUE,"Q8N7W7"
"ENSG00000166928","ENSG00000166928",0.0124939478749661,"MS4A14",TRUE,"Q96JA4"
"ENSG00000167613","ENSG00000167613",0.0127670315655224,"LAIR1",TRUE,"Q6GTX8"
"ENSG00000142185","ENSG00000142185",0.0127670315655224,"TRPM2",TRUE,"B4DVI8"
"ENSG00000118777","ENSG00000118777",0.0130430675121928,"ABCG2",TRUE,"Q9UNQ0"
"ENSG00000120251","ENSG00000120251",0.0133220557149774,"GRIA2",TRUE,"P42262"
"ENSG00000166527","ENSG00000166527",0.0136039961738761,"CLEC4D",FALSE,"Q8WXI8"
"ENSG00000268500","ENSG00000268500",0.0141767338600158,"SIGLEC5",TRUE,"O15389"
"ENSG00000105383","ENSG00000105383",0.0144675310872569,"CD33",TRUE,"P20138"
"ENSG00000254415","ENSG00000254415",0.0144675310872569,"SIGLEC14",TRUE,"Q08ET2"
"ENSG00000143195","ENSG00000143195",0.0153576363056648,"ILDR2",FALSE,"Q71H61"
"ENSG00000178789","ENSG00000178789",0.0153576363056648,"CD300LB",TRUE,"A8K4G0"
"ENSG00000169403","ENSG00000169403",0.0156602425573623,"PTAFR",TRUE,"P25105"
"ENSG00000197629","ENSG00000197629",0.0169001901252938,"MPEG1",TRUE,"Q2M385"
"ENSG00000132164","ENSG00000132164",0.0175378774459442,"SLC6A11",TRUE,"P48066"
"ENSG00000166927","ENSG00000166927",0.0175378774459442,"MS4A7",TRUE,"A0A024R556"
"ENSG00000137463","ENSG00000137463",0.0178611494904406,"MGARP",TRUE,"Q8TDB4"
"ENSG00000142583","ENSG00000142583",0.0181873737910511,"SLC2A5",TRUE,"A0A140VJK5"
"ENSG00000203985","ENSG00000203985",0.0185165503477758,"LDLRAD1",FALSE,"Q5T700"
"ENSG00000081138","ENSG00000081138",0.0188486791606145,"CDH7",TRUE,"F5H5X9"
"ENSG00000164604","ENSG00000164604",0.0188486791606145,"GPR85",FALSE,"A4D0T8"
"ENSG00000170419","ENSG00000170419",0.0191837602295674,"VSTM2A",FALSE,"F8W8J5"
"ENSG00000142512","ENSG00000142512",0.0195217935546345,"SIGLEC10",TRUE,"B7ZL06"
"ENSG00000131042","ENSG00000131042",0.0195217935546345,"LILRB2",TRUE,"A2IXV5"
"ENSG00000167654","ENSG00000167654",0.0205536070665202,"ATCAY",TRUE,"A0A0S2Z5T8"
"ENSG00000185862","ENSG00000185862",0.0216119908834331,"EVI2B",TRUE,"P34910"
"ENSG00000242574","ENSG00000242574",0.021970690001299,"HLA-DMB",FALSE,"A0A1V0E3P2"
"ENSG00000172116","ENSG00000172116",0.0226969450053731,"CD8B",FALSE,"P10966"
"ENSG00000075035","ENSG00000075035",0.0230645008915813,"WSCD2",FALSE,"Q2TBF2"
"ENSG00000198822","ENSG00000198822",0.0234350090339037,"GRM3",TRUE,"A4D1D0"
"ENSG00000185818","ENSG00000185818",0.0234350090339037,"NAT8L",FALSE,"Q8N9F0"
"ENSG00000177807","ENSG00000177807",0.0238084694323402,"KCNJ10",FALSE,"P78508"
"ENSG00000160593","ENSG00000160593",0.0238084694323402,"JAML",TRUE,"B3KUI3"
"ENSG00000185885","ENSG00000185885",0.0241848820868908,"IFITM1",FALSE,"A0A024R210"
"ENSG00000197992","ENSG00000197992",0.0245642469975555,"CLEC9A",TRUE,"Q6UXN8"
"ENSG00000166862","ENSG00000166862",0.0245642469975555,"CACNG2",FALSE,"Q9Y698"
