,meanPerfusionScore,hgncSymbol
ENSG00000110436,321.25,SLC1A2
ENSG00000143226,467.5,FCGR2A
ENSG00000161381,380.0,PLXDC1
ENSG00000163873,233.75,GRIK3
ENSG00000110077,134.75,MS4A6A
ENSG00000135298,11.25,ADGRB3
ENSG00000172116,345.75,CD8B
ENSG00000196876,121.25,SCN8A
ENSG00000121361,276.0,KCNJ8
ENSG00000198829,247.0,SUCNR1
ENSG00000163681,0.0,SLMAP
ENSG00000166897,45.0,ELFN2
ENSG00000197471,345.75,SPN
ENSG00000105737,157.25,GRIK5
ENSG00000183579,45.0,ZNRF3
ENSG00000205704,168.5,SMIM45
ENSG00000126266,163.75,FFAR1
ENSG00000104972,498.25,LILRB1
ENSG00000104381,123.5,GDAP1
ENSG00000148344,315.0,PTGES
ENSG00000206432,11.25,TMEM200C
ENSG00000143797,0.0,MBOAT2
ENSG00000100427,422.0,MLC1
ENSG00000176697,228.75,BDNF
ENSG00000135312,327.5,HTR1B
ENSG00000115602,344.0,IL1RL1
ENSG00000080854,380.0,IGSF9B
ENSG00000115604,152.5,IL18R1
ENSG00000254126,345.75,CD8B2
ENSG00000142408,350.5,CACNG8
ENSG00000078549,310.0,ADCYAP1R1
ENSG00000172296,11.25,SPTLC3
ENSG00000115884,45.0,SDC1
ENSG00000177301,444.75,KCNA2
ENSG00000184574,410.75,LPAR5
ENSG00000059769,0.0,DNAJC25
ENSG00000178568,292.5,ERBB4
ENSG00000198851,422.0,CD3E
ENSG00000156113,22.5,KCNMA1
ENSG00000101152,45.0,DNAJC5
ENSG00000105383,345.75,CD33
ENSG00000118762,11.25,PKD2
ENSG00000187730,276.0,GABRD
ENSG00000235568,269.5,NFAM1
ENSG00000127324,0.0,TSPAN8
ENSG00000157181,0.0,ODR4
ENSG00000198626,433.5,RYR2
ENSG00000013725,422.0,CD6
ENSG00000145569,422.0,OTULINL
ENSG00000160255,22.5,ITGB2
ENSG00000117114,0.0,ADGRL2
ENSG00000127838,33.75,PNKD
ENSG00000135506,45.0,OS9
ENSG00000186407,422.0,CD300E
ENSG00000179344,298.5,HLA-DQB1
ENSG00000174469,467.5,CNTNAP2
ENSG00000165300,11.25,SLITRK5
ENSG00000123700,11.25,KCNJ2
ENSG00000140749,410.75,IGSF6
ENSG00000131355,422.0,ADGRE3
ENSG00000188338,269.5,SLC38A3
ENSG00000148488,152.5,ST8SIA6
ENSG00000268500,422.0,SIGLEC5
ENSG00000155893,22.5,PXYLP1
ENSG00000198838,345.75,RYR3
ENSG00000174607,157.5,UGT8
ENSG00000154065,456.25,ANKRD29
ENSG00000196338,444.75,NLGN3
ENSG00000141338,305.0,ABCA8
ENSG00000018280,422.0,SLC11A1
ENSG00000154309,0.0,DISP1
ENSG00000168003,22.5,SLC3A2
ENSG00000113749,233.75,HRH2
ENSG00000140090,444.75,SLC24A4
ENSG00000137103,22.5,TMEM8B
ENSG00000121933,399.5,TMIGD3
ENSG00000136052,175.25,SLC41A2
ENSG00000186818,269.5,LILRB4
ENSG00000168913,45.0,ENHO
ENSG00000100321,11.25,SYNGR1
ENSG00000110917,33.75,MLEC
ENSG00000106484,0.0,MEST
ENSG00000078596,467.5,ITM2A
ENSG00000171659,410.75,GPR34
ENSG00000197121,0.0,PGAP1
ENSG00000154118,490.0,JPH3
ENSG00000086730,422.0,LAT2
ENSG00000250722,410.75,SELENOP
ENSG00000154645,191.5,CHODL
ENSG00000099968,22.5,BCL2L13
ENSG00000139572,422.0,GPR84
ENSG00000164946,0.0,FREM1
ENSG00000160791,222.25,CCR5
ENSG00000103056,422.0,SMPD3
ENSG00000152078,0.0,TLCD4
ENSG00000130226,292.25,DPP6
ENSG00000107897,0.0,ACBD5
ENSG00000144366,0.0,GULP1
ENSG00000178878,370.5,APOLD1
ENSG00000143110,345.75,C1orf162
ENSG00000196664,269.5,TLR7
ENSG00000099822,45.0,HCN2
ENSG00000152315,0.0,KCNK13
ENSG00000183166,467.5,CALN1
ENSG00000154262,305.0,ABCA6
ENSG00000182489,373.0,XKRX
ENSG00000017483,327.5,SLC38A5
ENSG00000136868,0.0,SLC31A1
ENSG00000159958,269.5,TNFRSF13C
ENSG00000166928,422.0,MS4A14
ENSG00000101160,197.5,CTSZ
ENSG00000125257,0.0,ABCC4
ENSG00000143297,269.5,FCRL5
ENSG00000146411,366.5,SLC2A12
ENSG00000107736,399.5,CDH23
ENSG00000172071,0.0,EIF2AK3
ENSG00000105697,422.0,HAMP
ENSG00000198400,258.25,NTRK1
ENSG00000153786,22.5,ZDHHC7
ENSG00000119632,45.25,IFI27L2
ENSG00000169604,0.0,ANTXR1
ENSG00000146648,11.25,EGFR
ENSG00000165685,269.5,TMEM52B
ENSG00000273079,303.75,GRIN2B
ENSG00000154258,228.75,ABCA9
ENSG00000073331,0.0,ALPK1
ENSG00000105609,345.75,LILRB5
ENSG00000141934,337.5,PLPP2
ENSG00000187474,410.75,FPR3
ENSG00000053918,76.25,KCNQ1
ENSG00000009790,269.5,TRAF3IP3
ENSG00000150337,334.5,FCGR1A
ENSG00000164221,0.0,CCDC112
ENSG00000163485,269.5,ADORA1
ENSG00000095303,152.5,PTGS1
ENSG00000126858,0.0,RHOT1
ENSG00000187912,345.75,CLEC17A
ENSG00000018236,146.0,CNTN1
ENSG00000005961,410.75,ITGA2B
ENSG00000166111,345.75,SVOP
ENSG00000114812,0.0,VIPR1
ENSG00000275302,146.0,CCL4
ENSG00000171302,45.0,CANT1
ENSG00000102524,422.0,TNFSF13B
ENSG00000196083,0.0,IL1RAP
ENSG00000149294,357.25,NCAM1
ENSG00000111817,0.0,DSE
ENSG00000160886,344.0,LY6K
ENSG00000135917,22.5,SLC19A3
ENSG00000177030,22.5,DEAF1
ENSG00000181631,334.5,P2RY13
ENSG00000079215,433.5,SLC1A3
ENSG00000131626,11.25,PPFIA1
ENSG00000178789,222.25,CD300LB
ENSG00000152092,334.5,ASTN1
ENSG00000170558,0.0,CDH2
ENSG00000161911,410.75,TREML1
ENSG00000205726,152.5,ITSN1
ENSG00000204420,410.75,MPIG6B
ENSG00000113100,258.25,CDH9
ENSG00000116106,0.0,EPHA4
ENSG00000124731,222.25,TREM1
ENSG00000145685,305.0,LHFPL2
