Cell_type,Organism,Tissue_type,Extracted_molecule,Library_strategy,Library_source,Library_selection,Sample_type,Instrument_model,Layout,Fresh_tissue,Alive_person,Dead_person,Cell_line,Primary,Immortal,Stem_cell,Type_of_cell,GEO_number,Project_ID,GEO_for_Study,Study_number,PMID,BioSample,SRA,SRR_ID,Source_name,Cell__name
HLEC,Homo sapiens,Lung,total RNA,RNA-Seq,Transcriptomic,cDNA,SRA,Illumina HiSeq 2500,PAIRED,0,0,0,1,1,0,0,CP,GSM3145794,PRJNA471906,GSE114607,48,30240741,SAMN09222224,SRX4097400,SRR7180193,Cultured lung endothelial cells,Endothelial cells
HHEC,Homo sapiens,Heart,total RNA,RNA-Seq,Transcriptomic,cDNA,SRA,Illumina HiSeq 2500,PAIRED,0,0,0,1,1,0,0,CP,GSM3145796,PRJNA471906,GSE114607,48,30240741,SAMN09222221,SRX4097402,SRR7180195,Cultured Heart endothelial cells,Endothelial cells
HLEC,Homo sapiens,Lung,total RNA,RNA-Seq,Transcriptomic,cDNA,SRA,Illumina HiSeq 2500,PAIRED,0,0,0,1,1,0,0,CP,GSM3145798,PRJNA471906,GSE114607,48,30240741,SAMN09222217,SRX4097404,SRR7180197,Cultured lung endothelial cells,Endothelial cells
HHEC,Homo sapiens,Heart,total RNA,RNA-Seq,Transcriptomic,cDNA,SRA,Illumina HiSeq 2500,PAIRED,0,0,0,1,1,0,0,CP,GSM3145800,PRJNA471906,GSE114607,48,30240741,SAMN09222213,SRX4097406,SRR7180199,Cultured Heart endothelial cells,Endothelial cells
HKEC,Homo sapiens,Kidney,total RNA,RNA-Seq,Transcriptomic,cDNA,SRA,Illumina HiSeq 2500,PAIRED,0,0,0,1,1,0,0,CP,GSM3145801,PRJNA471906,GSE114607,48,30240741,SAMN09222210,SRX4097407,SRR7180200,Cultured Kidneyendothelial cells,Endothelial cells
HLEC,Homo sapiens,Lung,total RNA,RNA-Seq,Transcriptomic,cDNA,SRA,Illumina HiSeq 2500,PAIRED,0,0,0,1,1,0,0,CP,GSM3145802,PRJNA471906,GSE114607,48,30240741,SAMN09222248,SRX4097408,SRR7180201,Cultured lung endothelial cells,Endothelial cells
HLEC,Homo sapiens,Liver,total RNA,RNA-Seq,Transcriptomic,cDNA,SRA,Illumina HiSeq 2500,PAIRED,0,0,0,1,1,0,0,CP,GSM3145803,PRJNA471906,GSE114607,48,30240741,SAMN09222245,SRX4097409,SRR7180202,Cultured Liver endothelial cells,Endothelial cells
HKEC,Homo sapiens,Kidney,total RNA,RNA-Seq,Transcriptomic,cDNA,SRA,Illumina HiSeq 2500,PAIRED,1,0,1,0,0,0,0,FD,GSM3145805,PRJNA471906,GSE114607,48,30240741,SAMN09222243,SRX4097411,SRR7180204,Fresh Kidneyendothelial cells,Endothelial cells
HLEC,Homo sapiens,Lung,total RNA,RNA-Seq,Transcriptomic,cDNA,SRA,Illumina HiSeq 2500,PAIRED,1,0,1,0,0,0,0,FD,GSM3145806,PRJNA471906,GSE114607,48,30240741,SAMN09222242,SRX4097412,SRR7180205,Fresh lung endothelial cells,Endothelial cells
HLEC,Homo sapiens,Liver,total RNA,RNA-Seq,Transcriptomic,cDNA,SRA,Illumina HiSeq 2500,PAIRED,1,0,1,0,0,0,0,FD,GSM3145807,PRJNA471906,GSE114607,48,30240741,SAMN09222241,SRX4097413,SRR7180206,Fresh Liver endothelial cells,Endothelial cells
HHEC,Homo sapiens,Heart,total RNA,RNA-Seq,Transcriptomic,cDNA,SRA,Illumina HiSeq 2500,PAIRED,1,0,1,0,0,0,0,FD,GSM3145808,PRJNA471906,GSE114607,48,30240741,SAMN09222240,SRX4097414,SRR7180207,Fresh Heart endothelial cells,Endothelial cells
HKEC,Homo sapiens,Kidney,total RNA,RNA-Seq,Transcriptomic,cDNA,SRA,Illumina HiSeq 2500,PAIRED,1,0,1,0,0,0,0,FD,GSM3145809,PRJNA471906,GSE114607,48,30240741,SAMN09222239,SRX4097415,SRR7180208,Fresh Kidneyendothelial cells,Endothelial cells
HLEC,Homo sapiens,Lung,total RNA,RNA-Seq,Transcriptomic,cDNA,SRA,Illumina HiSeq 2500,PAIRED,1,0,1,0,0,0,0,FD,GSM3145810,PRJNA471906,GSE114607,48,30240741,SAMN09222238,SRX4097416,SRR7180209,Fresh lung endothelial cells,Endothelial cells
HLEC,Homo sapiens,Liver,total RNA,RNA-Seq,Transcriptomic,cDNA,SRA,Illumina HiSeq 2500,PAIRED,1,0,1,0,0,0,0,FD,GSM3145811,PRJNA471906,GSE114607,48,30240741,SAMN09222237,SRX4097417,SRR7180210,Fresh Liver endothelial cells,Endothelial cells
HHEC,Homo sapiens,Heart,total RNA,RNA-Seq,Transcriptomic,cDNA,SRA,Illumina HiSeq 2500,PAIRED,1,0,1,0,0,0,0,FD,GSM3145812,PRJNA471906,GSE114607,48,30240741,SAMN09222236,SRX4097418,SRR7180211,Fresh Heart endothelial cells,Endothelial cells
HKEC,Homo sapiens,Kidney,total RNA,RNA-Seq,Transcriptomic,cDNA,SRA,Illumina HiSeq 2500,PAIRED,1,0,1,0,0,0,0,FD,GSM3145813,PRJNA471906,GSE114607,48,30240741,SAMN09222235,SRX4097419,SRR7180212,Fresh Kidneyendothelial cells,Endothelial cells
HLEC,Homo sapiens,Lung,total RNA,RNA-Seq,Transcriptomic,cDNA,SRA,Illumina HiSeq 2500,PAIRED,1,0,1,0,0,0,0,FD,GSM3145814,PRJNA471906,GSE114607,48,30240741,SAMN09222234,SRX4097420,SRR7180213,Fresh lung endothelial cells,Endothelial cells
HLEC,Homo sapiens,Liver,total RNA,RNA-Seq,Transcriptomic,cDNA,SRA,Illumina HiSeq 2500,PAIRED,1,0,1,0,0,0,0,FD,GSM3145815,PRJNA471906,GSE114607,48,30240741,SAMN09222207,SRX4097421,SRR7180214,Fresh Liver endothelial cells,Endothelial cells
HHEC,Homo sapiens,Heart,total RNA,RNA-Seq,Transcriptomic,cDNA,SRA,Illumina HiSeq 2500,PAIRED,1,0,1,0,0,0,0,FD,GSM3145816,PRJNA471906,GSE114607,48,30240741,SAMN09222206,SRX4097422,SRR7180215,Fresh Heart endothelial cells,Endothelial cells
HPAEC,Homo sapiens,Lung,total RNA,RNA-Seq,Transcriptomic,cDNA,SRA,Illumina HiSeq 2000,PAIRED,0,0,0,1,1,0,0,CP,GSM2072329,PRJNA30709,GSE78540,50,22955616,SAMN04284250,SRX1603362,SRR3192377,Human pulmonary artery endothelial primary cell male adult,HPAEC
HPAEC,Homo sapiens,Lung,total RNA,RNA-Seq,Transcriptomic,cDNA,SRA,Illumina HiSeq 2000,PAIRED,0,0,0,1,1,0,0,CP,GSM2072328,PRJNA30709,GSE78540,50,22955616,SAMN04284251,SRX1603361,SRR3192376,Human pulmonary artery endothelial primary cell male adult,HPAEC
HCMVEC,Homo sapiens,Heart,total RNA,RNA-Seq,Transcriptomic,cDNA,SRA,Illumina NovaSeq 6000,PAIRED,1,0,0,0,0,0,0,FA,GSM5366237,PRJNA736408,GSE176479,51, not poblished,SAMN19643465,SRX11101492,SRR14768134,Human cardiac microvascular endothelial cells,Human cardiac microvascular endothelial cells
HCMVEC,Homo sapiens,Heart,total RNA,RNA-Seq,Transcriptomic,cDNA,SRA,Illumina NovaSeq 6000,PAIRED,1,0,0,0,0,0,0,FD,GSM5366236,PRJNA736408,GSE176479,51, not poblished,SAMN19643466,SRX11101491,SRR14768133,Human cardiac microvascular endothelial cells,Human cardiac microvascular endothelial cells
HCMVEC,Homo sapiens,Heart,total RNA,RNA-Seq,Transcriptomic,cDNA,SRA,Illumina NovaSeq 6000,PAIRED,1,0,0,0,0,0,0,FD,GSM5366238,PRJNA736408,GSE176479,51, not poblished,SAMN19643464,SRX11101493,SRR14768135,Human cardiac microvascular endothelial cells,Human cardiac microvascular endothelial cells
HCMVEC,Homo sapiens,Heart,total RNA,RNA-Seq,Transcriptomic,cDNA,SRA,Illumina NovaSeq 6000,PAIRED,1,0,0,0,0,0,0,FD,GSM5366239,PRJNA736408,GSE176479,51, not poblished,SAMN19643463,SRX11101494,SRR14768136,Human cardiac microvascular endothelial cells,Human cardiac microvascular endothelial cells
HCMVEC,Homo sapiens,Heart,total RNA,RNA-Seq,Transcriptomic,cDNA,SRA,Illumina NovaSeq 6000,PAIRED,1,0,0,0,0,0,0,FD,GSM5366240,PRJNA736408,GSE176479,51, not poblished,SAMN19643462,SRX11101495,SRR14768137,Human cardiac microvascular endothelial cells,Human cardiac microvascular endothelial cells
HCMVEC,Homo sapiens,Heart,total RNA,RNA-Seq,Transcriptomic,cDNA,SRA,Illumina NovaSeq 6000,PAIRED,1,0,0,0,0,0,0,FD,GSM5366241,PRJNA736408,GSE176479,51, not poblished,SAMN19643461,SRX11101496,SRR14768138,Human cardiac microvascular endothelial cells,Human cardiac microvascular endothelial cells
HBMEC,Homo sapiens,Brain,total RNA,RNA-Seq,Transcriptomic,cDNA,SRA,Illumina NovaSeq 2000,PAIRED,0,0,0,1,1,0,0,CP,GSM3584706,PRJNA517929,GSE125907,54, not poblished,SAMN10847743,SRX5311421,SRR8507720,Brain microvascular endothelial cell,Brain microvascular endothelial cell
HBMEC,Homo sapiens,Brain,total RNA,RNA-Seq,Transcriptomic,cDNA,SRA,Illumina NovaSeq 2000,PAIRED,0,0,0,1,1,0,0,CP,GSM3584707,PRJNA517929,GSE125907,54, not poblished,SAMN10847742,SRX5311422,SRR8507721,Brain microvascular endothelial cell,Brain microvascular endothelial cell
